2025-05-30 06:31:21,216 - INFO - Starting PDF processing: CCOLA_31.12.2024_EN.pdf
2025-05-30 06:31:21,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,247 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,247 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,248 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,248 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,249 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,249 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,249 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,250 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,250 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,252 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,252 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,252 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,253 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,253 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,254 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,254 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,255 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,256 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,256 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,257 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,258 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,259 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,259 - WARNING - CropBox missing from /Page, defaulting to MediaBox
